exporter,product,periodX,periodY,intercept,intercept_p_value,beta,beta_p_value,gamma,r_squared
EE,2,201304,201305,-0.003216284,0.613396969,1.014441018,6.79339E-10,0.014441018,0.980613937
EE,2,201305,201306,0.012973009,0.140928358,0.842849278,3.01674E-08,-0.157150722,0.944405435
EE,2,201306,201307,0.000718042,0.940507496,1.031286353,3.42214E-07,0.031286353,0.96666571
EE,2,201307,201308,0.004823594,0.474993664,0.922140508,3.18989E-08,-0.077859492,0.981553162
EE,2,201308,201309,-0.0020369,0.735859812,1.04073178,8.06918E-10,0.04073178,0.9799362
EE,2,201309,201310,0.011473059,0.338360883,0.887659217,2.25584E-06,-0.112340783,0.925418781
EE,2,201310,201311,0.003656064,0.734605851,0.961188166,4.73466E-07,-0.038811834,0.928522895
EE,2,201311,201312,-0.01021739,0.587949649,1.120310145,2.98446E-05,0.120310145,0.898863293
EE,2,201312,201401,0.010400589,0.477616875,0.883413522,7.81534E-06,-0.116586478,0.901927458
EE,2,201401,201402,0.00650074,0.656918396,0.948450267,5.09327E-06,-0.051549733,0.885497818
EE,2,201402,201403,0.018878443,0.180086421,0.734312299,2.03677E-05,-0.265687701,0.849433969
EE,2,201403,201404,0.001308173,0.926442645,0.970620999,8.75271E-06,-0.029379001,0.845427308
EE,2,201404,201405,0.004270446,0.744436803,0.972194765,2.94467E-06,-0.027805235,0.872895462
EE,2,201405,201406,0.014799408,0.274842111,0.796391281,1.46968E-05,-0.203608719,0.830382646
EE,2,201406,201407,-0.013226032,0.180478462,1.157900887,1.75816E-08,0.157900887,0.934955149
EE,2,201407,201408,0.003088376,0.601535619,0.951484535,4.24427E-11,-0.048515465,0.958875361
EE,2,201408,201409,0.011547829,0.180455873,0.865741656,6.00636E-08,-0.134258344,0.937027721
EE,2,201409,201410,0.00202017,0.843245176,0.970937434,2.06768E-07,-0.029062566,0.90215905
EE,2,201410,201411,0.001527963,0.871361419,0.98118114,1.04233E-07,-0.01881886,0.93042694
EE,2,201411,201412,-0.004402055,0.281392332,1.031033446,1.53987E-13,0.031033446,0.981544868
EE,2,201412,201501,0.006390455,0.505320129,0.961981882,1.72274E-07,-0.038018118,0.941540834
EE,2,201501,201502,0.012131643,0.078206596,0.839900109,5.94252E-09,-0.160099891,0.958576957
EE,2,201502,201503,0.000753519,0.921615442,0.985382592,1.91059E-08,-0.014617408,0.948817722
EE,2,201503,201504,-0.010885363,0.177789353,1.147547359,6.60574E-10,0.147547359,0.939208161
EE,2,201504,201505,-0.0016734,0.813397678,1.045762431,1.50297E-10,0.045762431,0.950759539
EE,2,201505,201506,0.006631211,0.044726354,0.888670932,6.80112E-15,-0.111329068,0.988176608
EE,2,201506,201507,-0.001442897,0.818933493,1.013301425,3.45859E-11,0.013301425,0.950302698
EE,2,201507,201508,0.007710614,0.19298976,0.86007063,6.86156E-11,-0.13992937,0.945565329
EE,2,201508,201509,0.006571303,0.462925605,0.881181292,7.84096E-08,-0.118818708,0.880201441
EE,2,201509,201510,0.0044157,0.631628323,0.91468134,8.89562E-08,-0.08531866,0.84046649
EE,2,201510,201511,0.004264574,0.6193555,0.931844825,3.27384E-08,-0.068155175,0.876657603
EE,2,201511,201512,-0.009333934,0.307091286,1.131596996,9.69232E-09,0.131596996,0.926379999
EE,2,201512,201601,0.001227203,0.872296327,0.974226221,8.73772E-09,-0.025773779,0.955579926
EE,2,201601,201602,-0.002375108,0.567014088,1.035360249,1.78169E-13,0.035360249,0.981156725
EE,2,201602,201603,0.008708116,0.226311651,0.862950826,1.74949E-09,-0.137049174,0.930174844
EE,2,201603,201604,-0.000310738,0.956236883,0.989223048,4.49057E-11,-0.010776952,0.95854352
EE,2,201604,201605,-0.006989648,0.214696357,1.11625597,1.17891E-12,0.11625597,0.960524486
EE,2,201605,201606,0.007428007,0.395313592,0.851124663,1.7617E-08,-0.148875337,0.886366418
EE,2,201606,201607,0.002209897,0.792585908,0.967843348,8.60021E-09,-0.032156652,0.912442427
EE,2,201607,201608,0.00150009,0.767733929,0.964469048,4.41522E-12,-0.035530952,0.962203088
EE,2,201608,201609,0.002968376,0.339399615,0.954176243,4.11281E-16,-0.045823757,0.98120112
EE,2,201609,201610,0.003724096,0.186464582,0.924724404,5.01617E-16,-0.075275596,0.985018847
EE,2,201610,201611,-0.003792915,0.493076349,1.088957744,4.38781E-12,0.088957744,0.953495252
EE,2,201611,201612,-0.003402351,0.329003873,1.056922665,1.31134E-15,0.056922665,0.983108572
EE,2,201612,201701,0.000269353,0.922113922,0.981958956,4.37505E-15,-0.018041044,0.992188199
EE,2,201701,201702,0.003703771,0.643751924,0.940660697,4.02837E-09,-0.059339303,0.921385656
EE,2,201702,201703,0.006672344,0.354020941,0.838147486,1.7302E-09,-0.161852514,0.887502831
EE,2,201703,201704,-0.002018629,0.727952401,1.077504978,1.03238E-11,0.077504978,0.948261456
EE,2,201704,201705,0.012114889,0.201163513,0.77503358,3.16698E-07,-0.22496642,0.833560208
EE,2,201705,201706,-0.002407943,0.782356597,0.914819893,6.44753E-08,-0.085180107,0.846695737
EE,2,201706,201707,0.004563152,0.345253131,0.911349677,4.95156E-12,-0.088650323,0.943336078
EE,2,201707,201708,-0.006079599,0.180185223,1.114970745,5.05174E-14,0.114970745,0.959911438
EE,2,201708,201709,0.00449226,0.443816654,0.916282744,5.21096E-11,-0.083717256,0.925333647
EE,2,201709,201710,0.005747515,0.399071031,0.89423219,1.2428E-09,-0.10576781,0.891770707
EE,2,201710,201711,-0.003707553,0.568319047,1.324645843,5.60866E-11,0.324645843,0.936117441
EE,2,201711,201712,0.002779565,0.449421067,0.948280705,6.85275E-15,-0.051719295,0.97383669
EE,2,201712,201801,-0.002471259,0.722984389,1.035657764,2.29756E-10,0.035657764,0.936085571
EE,2,201801,201802,0.001788002,0.76425952,0.96191999,1.22813E-11,-0.03808001,0.936967474
EE,2,201802,201803,0.007565869,0.078862111,0.861922003,1.91739E-13,-0.138077997,0.961308581
EE,2,201803,201804,-0.0030506,0.662381584,1.049939248,2.39205E-10,0.049939248,0.923476381
EE,2,201804,201805,-0.000559237,0.880037318,1.007945613,4.25532E-15,0.007945613,0.975261068
EE,2,201805,201806,-0.00093823,0.903325283,1.007756456,4.79577E-10,0.007756456,0.903176606
EE,2,201806,201807,0.002613277,0.553944569,0.958464016,1.45614E-13,-0.041535984,0.96958982
EE,2,201807,201808,-0.00118376,0.805015307,1.017513046,2.93234E-13,0.017513046,0.966814258
EE,2,201808,201809,0.008210616,0.269274765,0.838282545,1.60482E-09,-0.161717455,0.888487598
EE,2,201809,201810,0.00150505,0.825229822,0.972488314,2.10115E-10,-0.027511686,0.912090055
